csv_row,excel_name,notion_name,institution_code,action,coded_page_name,coded_old_address,csv_updated_address,target_city,target_district,duplicate_name,duplicate_address,duplicate_name_score,duplicate_address_score,page_id,duplicate_page_id
63,正典技工所,正典牙體技術所,2Y32100100,matched_page_already_current,正典牙體技術所,桃園市平鎮區建明路1段269巷2弄2號,桃園市平鎮區建明路1段269巷2弄2號,桃園市,平鎮區,,,,,335dcdaa-fb2a-81dd-9550-e838b854071d,
65,曜澄技工所,曜澄牙體技術所,2Y32020303,matched_page_already_current,曜澄牙體技術所,桃園市中壢區龍岡路三段243巷73弄1號,桃園市中壢區龍岡路三段243巷73弄1號,桃園市,中壢區,,,,,335dcdaa-fb2a-81f9-819d-df42252f375c,
65,曜澄技工所,曜澄牙體技術所,2Y32020303,restored_not_archived_incomplete_address,,,桃園市中壢區龍岡路三段243巷73弄1號,桃園市,中壢區,國華牙材,桃園市中壢區,0.000,0.920,335dcdaa-fb2a-81f9-819d-df42252f375c,336dcdaa-fb2a-816a-b8c9-dc85bfa81b50
66,名揚技工所(陳貴宗先生),名揚牙體技術所,,matched_page_already_current,名揚牙體技術所,桃園市平鎮區福林里5鄰39號,桃園市平鎮區福林里5鄰39號,桃園市,平鎮區,,,,,336dcdaa-fb2a-814f-9988-f7e04b44ef68,
67,捷安技工所(傅穗舟先生),捷安牙體技術所,,matched_page_already_current,捷安牙體技術所,桃園市平鎮區東豐路528巷1弄12號,桃園市平鎮區東豐路528巷1弄12號,桃園市,平鎮區,,,,,336dcdaa-fb2a-81a7-8715-fc63d93d2173,
68,潔明牙醫診所,潔明牙醫診所,3732100072,matched_page_already_current,潔明牙醫診所,桃園市平鎮區和平路33號,桃園市平鎮區和平路33號,桃園市,平鎮區,,,,,335dcdaa-fb2a-8155-a70a-c80af12e70ae,
69,仁和牙科技工所,仁和牙科牙體技術所,,matched_page_already_current,仁和牙科牙體技術所,桃園市觀音區崙坪里忠愛路3段230號,桃園市觀音區崙坪里忠愛路3段230號,桃園市,觀音區,,,,,336dcdaa-fb2a-8191-8302-e1e8bcf6f513,
71,大安技工所,大安牙體技術所,,matched_page_already_current,大安牙體技術所,桃園市桃園區泰山街47巷24號,桃園市桃園區泰山街47巷24號,桃園市,桃園區,,,,,33cdcdaa-fb2a-815c-9b6d-cf6440c97e79,
72,源昇技工所,源昇牙體技術所,2Y32010209,matched_page_already_current,源昇牙體技術所,桃園市桃園區昆明路138巷30號,桃園市桃園區昆明路138巷30號,桃園市,桃園區,,,,,335dcdaa-fb2a-815d-96ac-cfd87fd781e6,
73,精美技工所,臻美牙醫診所,3732011310,updated_matched_page,臻美牙醫診所,桃園市桃園區永安北路398號一樓之3,桃園市桃園區永安北路445巷1號,桃園市,桃園區,,,,,335dcdaa-fb2a-81e0-9edb-d2fb0cae9390,
74,晟生技工所,晟生牙體技術所,2Y32010398,updated_matched_page,晟生牙體技術所,桃園市桃園區江南10街6巷7號2樓,桃園市龜山區明興街114巷13弄2號1樓,桃園市,龜山區,,,,,335dcdaa-fb2a-8117-a785-fa2084a1e13c,
75,民富技工所,民富牙體技術所,2Y32010129,matched_page_already_current,民富牙體技術所,桃園市桃園區民富二街68號7樓,桃園市桃園區民富二街68號7樓,桃園市,桃園區,,,,,335dcdaa-fb2a-8189-bf0a-ccaba18074a6,
76,保時潔技工所,保時潔牙體技術所,2Y32010147,matched_page_already_current,保時潔牙體技術所,桃園市桃園區德壽二街3號,桃園市桃園區德壽二街3號,桃園市,桃園區,,,,,335dcdaa-fb2a-81d1-9467-e244903d7c3e,
77,禾康技工所,禾康牙體技術所,2Y32010101,matched_page_already_current,禾康牙體技術所,桃園市桃園區同安街406號7F,桃園市桃園區同安街406號7F,桃園市,桃園區,,,,,335dcdaa-fb2a-81a8-a0ef-ffe1f4dfd012,
81,京鼎牙醫診所(瑞安),京鼎牙醫診所,3732014179,updated_matched_page,京鼎牙醫診所,桃園市桃園區同安里新埔6街87號1樓、2樓,桃園市桃園區新埔六街87號,桃園市,桃園區,,,,,335dcdaa-fb2a-8128-a004-ea3ecf6ac464,
82,樂亞牙體技術所,樂亞數位牙體技術所,2Y32010496,updated_matched_page,樂亞數位牙體技術所,桃園市桃園區正光路423之3號12樓,桃園市桃園區正光路423號12F之3,桃園市,桃園區,,,,,335dcdaa-fb2a-8178-917e-f637bc32cefd,
85,永泰技工所,永泰牙體技術所,,matched_page_already_current,永泰牙體技術所,桃園市八德區永安街13巷14號,桃園市八德區永安街13巷14號,桃園市,八德區,,,,,33cdcdaa-fb2a-81b0-9e42-cbb4d120c68d,
86,精湛技工所,精湛牙體技術所,,matched_page_already_current,精湛牙體技術所,桃園市八德區中興街36-1號2F,桃園市八德區中興街36-1號2F,桃園市,八德區,,,,,336dcdaa-fb2a-8106-969d-ce41784dedde,
87,鴻海技工所(陳介智先生),鴻海牙體技術所,,matched_page_already_current,鴻海牙體技術所,桃園市大溪區文化路129巷21號,桃園市大溪區文化路129巷21號,桃園市,大溪區,,,,,336dcdaa-fb2a-81ed-8448-ec75a2465163,
88,宏霖技工所(宏昇),宏霖牙體技術所,,matched_page_already_current,宏霖牙體技術所,桃園市蘆竹區新興街344巷63弄10號,桃園市蘆竹區新興街344巷63弄10號,桃園市,蘆竹區,,,,,336dcdaa-fb2a-8131-90dc-db7c514cde40,
