skuCode,name,brand,businessCategory,functionCategory,productKind,classificationStatus,classificationMethod,seriesId,seriesMatch,reviewRequired,reviewReasons,legacyProductType,legacyMainCategory,legacyCategory
AG-03817,DentaTRY A2 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-04248,MAX Build Tray Storage Case 料槽收納盒,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-04504,Denta GUIDE 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-04569,PRO Build Tray 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-04570,PRO Build Tray 5L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-04571,PRO Build Tray 10L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-04634,PRO 4K80 UV 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-04748,Denta Cast 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-05167,DentaFORM Grey,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-05220,MAX Law Force Build Tray 1L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05226,PRO 4K Tool kit 工具組,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05359,MAX Tool kit 工具組,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05367,Denta STUDY 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-05565,PRO Build Tray Storage Case 料槽收納盒(大),ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05864,MAX UltraGloss Build Tray 1L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05868,PRO UltraGloss 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-05899,Ultra Hood 門板蓋子,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07035,Ultra 油壓桿,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07063,Ultra 成型平台,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07323,Ultra 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-07388,Max 2 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-07391,Encoder Board Assembly,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07419,Ultra Endurance Build Tray 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07422,Ultra UltraGLOSS 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07440,Ultra Reseller Service Tool kit 工具組,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07446,Max 2/Ultra CPU Board,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07458,Max2 Front Panel觸控面板,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07514,Stepping Motor,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07570,校正工具包,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07647,Ultra Endurance Build Tray 5L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07650,Max UltraGLOSS LIFT 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07741,Max LIFT Build Tray 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07788,PRO 4K Endurance Build Tray 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07789,PRO 4K Endurance Build Tray 5L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07862,DentaTRAY Orange 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07876,DentaFORM Beige 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-07915,Max 2 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-07930,Max 2 (50) 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-07946,Cure 2.5 光固化機,ASIGA,additive-manufacturing,post-processing,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,光固化機
AG-07950,Max Crown Kit Build Tray,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07951,Max Crown Kit Set,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07956,Ultra Crown Kit Set,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-07957,Ultra Crown Kit Build Tray,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-08110,Ultra Projector 50um,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-08111,Ultra 平台列印偵測器,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-08114,Ultra Front Panel觸控面板,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
BO-RP0211,COBRA Shade Scan 比色機,其他,digital-manufacturing,scanner,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,掃描儀
BS-05,美學套裝,貝施美,other-review,kit-bundle,other_review,unresolved,researched_unresolved,,unmatched,true,ambiguous_legacy_category,工具,其他,套裝組
BS-06,氧化鋯燒結爐,貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-01,燒結爐-感溫棒,貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-02,燒結爐-加熱棒,貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-FC30,氧化鋯燒結爐(FC30),貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-FC30-1,FC30燒結爐加熱棒,貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-FC30-2,FC30燒結爐燒結盤,貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-06-FC40,氧化鋯燒結爐(FC40),貝施美,digital-manufacturing,sintering-furnace,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,燒結爐
BS-07,SHT 3D26色內染液,貝施美,color-characterization,internal-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 內染
BS-08,氧化鋯氣泡球,貝施美,lab-equipment,furnace-accessory,accessory,approved_rule,legacy_category_rule,,unmatched,false,,配件,耗材,爐具配件
BS-09,測溫環,貝施美,lab-equipment,furnace-accessory,accessory,approved_rule,legacy_category_rule,,unmatched,false,,配件,耗材,爐具配件
BS-10,氧化鋯比色板,貝施美,color-characterization,shade-guide,durable_tool,approved_rule,legacy_category_rule,,unmatched,false,,工具,輔助工具,比色板
BS-11,燒付台,貝施美,lab-equipment,furnace-accessory,accessory,approved_rule,legacy_category_rule,,unmatched,false,,配件,耗材,爐具配件
BS-12,BSM-520D 五軸連動車機,貝施美,digital-manufacturing,milling-machine,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,車機 / 研磨機
BS-12-0.6,BM-520D 0.6車針,貝施美,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,BS-BUR,exact_unique,false,,耗材,耗材,車針 / 鑽針
BS-12-001,BSM-520D車機刀座,貝施美,digital-manufacturing,milling-machine,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,車機 / 研磨機
BS-12-1.0,BM-520D 1.0車針,貝施美,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,BS-BUR,exact_unique,false,,耗材,耗材,車針 / 鑽針
BS-12-2.0,BM-520D 2.0車針,貝施美,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,BS-BUR,exact_unique,false,,耗材,耗材,車針 / 鑽針
BS-12-F1.0,BM-520D 1.0平頭車針,貝施美,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,BS-BUR,exact_unique,false,,耗材,耗材,車針 / 鑽針
BS-13,冷卻機,貝施美,lab-equipment,other-equipment,equipment,needs_review,researched_unresolved,,unmatched,true,ambiguous_legacy_category,設備,設備,其他設備
BS-14,Artamic Master Stain Kit(大組),貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,材料,染液 - 外染
BS-14-1,Artamic Stain/Glaze (Purple-Gray).4g XXXXXXX,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-10,Artamic Stain/Glaze (Glaze).4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-10-1,Artamic Stain/Glaze 釉水(20ml),貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-10-2,Artamic 3D Stain/Glaze (Glaze).4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-11,Stain Glaze A,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 外染
BS-14-12,Stain Glaze B,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 外染
BS-14-13,Stain Glaze C,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 外染
BS-14-14,Stain Glaze D3,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 外染
BS-14-14-D4,Stain Glaze D4,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,藥液,染液色料,染液 - 外染
BS-14-15,Artamic Stain/Glaze (Yellow).4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-16,Artamic Stain/Glaze (Light Brown) .4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-17,Artamic Stain/Glaze (Terracotta).4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
BS-14-18,Artamic Stain/Glaze (Purplish Red ) .4g,貝施美,color-characterization,external-stain,material,approved_rule,legacy_category_rule,,unmatched,false,,材料,染液色料,染液 - 外染
